ID, UUID, Time (s), Siblings Left
83, 18ee1d6b-5306-5560-860f-5eaef2fb8c16, 21600, 25
136, 2ace9e12-923b-5dc3-a9ff-18184c699daf, 10, 0
205, 3f9f54aa-45fb-5257-a829-b13998ba5008, 21600, 25
420, 87d51997-69b5-5a89-9774-fed0ceccff30, 10, 0
496, a149b1b6-3a4a-5542-a371-5596a4ae9328, 10, 0
512, a73a5e75-b6a0-50ca-acf2-303873876039, 10, 0
632, d1f4350b-cd6b-50a3-89dc-9d68ab95e4f0, 250, 0
655, d7adbe06-ab59-59ba-bf5d-36a917c7ac83, 21600, 98
10, 03a297b6-5af3-5d90-a2cf-950b6d900213, 21600, 2
145, 2d24d0ce-03b7-5a42-a96b-0bd55f2448d0, 21600, 98
162, 33f86f5d-7d07-553b-9120-c45f7b337b76, 10, 0
184, 3a423e1b-5266-5c99-83b2-37c725aacd50, 21600, 2
273, 5acfdb1f-409f-5649-9e10-8e2e9adb7581, 21600, 17
386, 7e5fd715-fe5d-5f46-b689-f7afc6fd26d6, 580, 0
422, 883e5994-acab-535d-87ea-8041d43cceaa, 610, 0
537, adcb9b83-4b27-58c6-86e2-c78324e7df81, 21600, 6
568, ba120062-6dcf-5455-98c2-e84e021ae9f3, 21600, 3
618, cd1f3f22-131e-54c1-b57a-26fab838d82e, 21600, 98
199, 3d275742-453f-540b-91f4-404220c48eb4, 21600, 2
292, 5f63e839-23cc-560f-9043-a8690051bb2a, 10, 0
515, a809bfb1-f637-52a1-8ff0-587c973d3c7e, 21600, 42
714, ed516c48-9427-57b3-a2b3-6f86338d783b, 560, 0
13, 04a1aeda-4d57-5df4-b3f9-88b1f02062d7, 21600, 2
47, 0eae04ca-a6ba-5b48-9c31-13a27441f925, 10, 0
105, 1ed45f6b-9d09-5520-962c-89d864957448, 10, 0
157, 31066527-b08c-555f-a520-518193fc52a9, 21600, 2
315, 661d6c9d-ddaa-5b84-bd0e-11cfd7dcd2b1, 210, 0
602, c4f8391b-04f8-515b-928b-19d7d78ac9b3, 12080, 0
644, d48d055f-1168-5a94-928b-7033940e4a58, 770, 0
727, f28c49ba-67bd-595d-9063-36d2d148ee3b, 21600, 3
102, 1e63f9b7-03d9-575c-ae63-c5b3491b681a, 10, 0
237, 4dba3a2a-d20c-5ff4-a1ef-ea53fc570071, 21600, 17
365, 75b0adb3-bd98-572d-bfe3-ac0422217b62, 21600, 98
653, d6d49c89-1ab9-5cbc-a4fa-440153fcc341, 21600, 3
120, 2691f5f2-6d89-504d-96a1-aad2a0075a20, 21600, 17
172, 376a016f-1fa5-52b8-8548-acd844b447c1, 10, 0
403, 849ea25d-3b54-55bc-a55f-eace19158336, 130, 0
555, b66e5676-3a9b-5948-8cd9-ba6c62f0f3d6, 10, 0
567, ba0e46a8-fcb2-5d09-b05d-8a336550dc73, 270, 0
50, 0f25a504-b26d-587f-9c28-70867915f556, 21600, 4
100, 1e235cb8-70c6-586d-9338-25ce7c9595c4, 21600, 17
160, 3180f3c0-7d75-5013-b7f1-b140d92f9e09, 21600, 98
456, 949ee4ae-b10a-5364-9f71-c4f44783fcd1, 250, 0
117, 250e500b-f681-58eb-8f0d-b69426281e64, 21600, 98
212, 430ce44a-221d-5669-a199-f895c0e31763, 21600, 98
282, 5d25b8af-e765-5b8a-98c1-8d45e2b6537b, 21600, 98
323, 68e88dfa-fe7f-5d15-bf34-794e6154c086, 10, 0
576, bb659ccb-135b-5df0-9329-66e81098676c, 12120, 0
586, bebc87d2-7bcc-5fb4-9449-05c6c1ebf49f, 21600, 98
228, 4ae55b30-f78c-5387-9483-f2437bf47aa9, 21600, 98
327, 6973289f-175a-51fa-b2e8-2a032859f739, 21600, 36
79, 1851d807-4317-5692-857a-613f166a3098, 21600, 2
166, 34ce59b6-8b58-5286-a986-9090b273b050, 430, 0
503, a4642166-ecce-5afc-9a38-c2e7987c4c9e, 21600, 42
521, aad9e322-c024-5dda-8922-0299628ea945, 10, 0
44, 0e11fcf4-1995-5410-a88e-923a2e0b904a, 10, 0
110, 20886cf3-9538-5999-82e6-a179a0c3e04b, 10, 0
119, 2664903f-8d7c-57a6-891d-c195b3c7fb2d, 21600, 4
227, 4ad2de42-2eeb-5ce9-a3a2-8d591127f8f2, 21600, 17
369, 77568585-948c-5c64-84a2-3017a7b9077a, 21600, 42
554, b5c1d956-b26c-5c4c-a4cf-0ac2cfd39c0d, 21600, 42
637, d292f5a0-191b-5759-b02e-e748f8741be5, 21600, 17
711, ec5e314e-0503-5db8-a6e4-894354aa0a2a, 180, 0
64, 134c91c5-150a-5549-a17d-5ef15c5a4c4b, 21600, 2
91, 1be4fcc0-b268-5043-9d5f-3b390fd8ca58, 21600, 36
167, 35af15c8-2001-527b-a650-0fc8f80d6e42, 10, 0
